C;01;02;0; 100;   640;   459;   640; 14541;1.170;Thu Mar  9 03:14:20 2017
C;01;02;0; 100;   650;   469;   650; 14531;1.170;Thu Mar  9 03:14:30 2017
C;01;02;0; 100;   660;   479;   660; 14521;1.169;Thu Mar  9 03:14:40 2017
C;01;02;0; 100;   670;   489;   670; 14511;1.167;Thu Mar  9 03:14:50 2017
C;01;02;0; 100;   680;   499;   680; 14501;1.167;Thu Mar  9 03:15:00 2017
C;01;02;0; 100;   690;   509;   690; 14491;1.168;Thu Mar  9 03:15:10 2017
C;01;02;0; 100;   700;   519;   700; 14481;1.166;Thu Mar  9 03:15:20 2017
C;01;02;0; 100;   710;   529;   710; 14471;1.164;Thu Mar  9 03:15:30 2017
C;01;02;0; 100;   720;   539;   720; 14461;1.164;Thu Mar  9 03:15:40 2017
C;01;02;0; 100;   730;   549;   730; 14451;1.164;Thu Mar  9 03:15:50 2017
C;01;02;0; 100;   740;   559;   740; 14441;1.163;Thu Mar  9 03:16:00 2017
C;01;02;0; 100;   750;   569;   750; 14431;1.164;Thu Mar  9 03:16:10 2017
C;01;02;0; 100;   760;   579;   760; 14421;1.162;Thu Mar  9 03:16:20 2017
C;01;02;0; 100;   770;   589;   770; 14411;1.161;Thu Mar  9 03:16:30 2017
C;01;02;0; 100;   780;   599;   780; 14401;1.160;Thu Mar  9 03:16:40 2017
C;01;02;0; 100;   790;   609;   790; 14391;1.159;Thu Mar  9 03:16:50 2017
C;01;02;0; 100;   800;   619;   800; 14381;1.158;Thu Mar  9 03:17:00 2017
C;01;02;0; 100;   810;   629;   810; 14371;1.157;Thu Mar  9 03:17:10 2017
C;01;02;0; 100;   820;   639;   820; 14361;1.159;Thu Mar  9 03:17:20 2017
C;01;02;0; 100;   830;   649;   830; 14351;1.158;Thu Mar  9 03:17:30 2017
C;01;02;0; 100;   840;   659;   840; 14341;1.157;Thu Mar  9 03:17:40 2017
C;01;02;0; 100;   850;   669;   850; 14331;1.155;Thu Mar  9 03:17:50 2017
C;01;02;0; 100;   860;   679;   860; 14321;1.157;Thu Mar  9 03:18:00 2017
C;01;02;0; 100;   870;   689;   870; 14311;1.155;Thu Mar  9 03:18:10 2017
C;01;02;0; 100;   880;   699;   880; 14301;1.152;Thu Mar  9 03:18:20 2017
C;01;02;0; 100;   890;   709;   890; 14291;1.154;Thu Mar  9 03:18:30 2017
C;01;02;0; 100;   900;   719;   900; 14281;1.154;Thu Mar  9 03:18:40 2017
C;01;02;0; 100;   910;   729;   910; 14271;1.152;Thu Mar  9 03:18:50 2017
C;01;02;0; 100;   920;   739;   920; 14261;1.150;Thu Mar  9 03:19:00 2017
C;01;02;0; 100;   930;   749;   930; 14251;1.151;Thu Mar  9 03:19:10 2017
