N°;Secondes;Brut;Volts;Date
      0;     6;1089;1.362;Wed Feb 22 06:51:34 2017
      1;    16;1125;1.407;Wed Feb 22 06:51:44 2017
      2;    26;1164;1.455;Wed Feb 22 06:51:54 2017
      3;    36;1166;1.458;Wed Feb 22 06:52:04 2017
      4;    46;1168;1.460;Wed Feb 22 06:52:14 2017
      5;    56;1169;1.462;Wed Feb 22 06:52:24 2017
      6;    66;1169;1.462;Wed Feb 22 06:52:34 2017
      7;    76;1170;1.463;Wed Feb 22 06:52:44 2017
      8;    86;1171;1.464;Wed Feb 22 06:52:54 2017
      9;    96;1170;1.463;Wed Feb 22 06:53:04 2017
     10;   106;1171;1.464;Wed Feb 22 06:53:14 2017
     11;   116;1171;1.464;Wed Feb 22 06:53:24 2017
     12;   116;1171;1.464;Wed Feb 22 06:53:24 2017
