N°;Secondes;Brut;Volts;Date
      0;     0; 68;1.367;Sun Dec 25 10:51:57 2016
    254;   219; 67;1.348;Sun Dec 25 10:55:36 2016
    658;   568; 66;1.328;Sun Dec 25 11:01:25 2016
   2338;  2017; 65;1.309;Sun Dec 25 11:25:34 2016
   5473;  4720; 64;1.289;Sun Dec 25 12:10:37 2016
   9856;  8501; 63;1.269;Sun Dec 25 13:13:38 2016
  20373; 17572; 62;1.250;Sun Dec 25 15:44:49 2016
  20466; 17653; 61;1.230;Sun Dec 25 15:46:10 2016
  53972; 46555; 60;1.211;Sun Dec 25 23:47:52 2016
  57016; 49180; 59;1.191;Mon Dec 26 00:31:37 2016
  73914; 63753; 57;1.152;Mon Dec 26 04:34:30 2016
  83919; 72388; 56;1.133;Mon Dec 26 06:58:25 2016
  85884; 74082; 55;1.113;Mon Dec 26 07:26:39 2016
  87456; 75437; 53;1.074;Mon Dec 26 07:49:14 2016
  87456; 75437; 53;1.074;Mon Dec 26 07:49:14 2016
