N°;Secondes;Brut;Volts;Date
      0;     0;1006;1.259;Wed Feb 22 14:07:54 2017
      1;    10;1002;1.254;Wed Feb 22 14:08:04 2017
      2;    20;996;1.246;Wed Feb 22 14:08:14 2017
      3;    30;991;1.240;Wed Feb 22 14:08:24 2017
      4;    40;987;1.235;Wed Feb 22 14:08:34 2017
      5;    50;983;1.230;Wed Feb 22 14:08:44 2017
      6;    60;980;1.226;Wed Feb 22 14:08:54 2017
      7;    70;977;1.222;Wed Feb 22 14:09:04 2017
      8;    81;974;1.219;Wed Feb 22 14:09:15 2017
      9;    91;972;1.216;Wed Feb 22 14:09:25 2017
     10;   101;970;1.214;Wed Feb 22 14:09:35 2017
     11;   111;969;1.213;Wed Feb 22 14:09:45 2017
     12;   121;967;1.210;Wed Feb 22 14:09:55 2017
     13;   131;965;1.208;Wed Feb 22 14:10:05 2017
     14;   141;964;1.206;Wed Feb 22 14:10:15 2017
     15;   153;962;1.204;Wed Feb 22 14:10:27 2017
     16;   163;960;1.201;Wed Feb 22 14:10:37 2017
     17;   173;960;1.201;Wed Feb 22 14:10:47 2017
     18;   183;959;1.200;Wed Feb 22 14:10:57 2017
     19;   193;958;1.199;Wed Feb 22 14:11:07 2017
     20;   203;958;1.199;Wed Feb 22 14:11:17 2017
     21;   213;957;1.198;Wed Feb 22 14:11:27 2017
     22;   223;956;1.196;Wed Feb 22 14:11:37 2017
     23;   233;952;1.191;Wed Feb 22 14:11:47 2017
     24;   243;950;1.189;Wed Feb 22 14:11:57 2017
     25;   253;949;1.188;Wed Feb 22 14:12:07 2017
     26;   263;948;1.186;Wed Feb 22 14:12:17 2017
     27;   273;948;1.186;Wed Feb 22 14:12:27 2017
     28;   283;946;1.184;Wed Feb 22 14:12:37 2017
     29;   294;946;1.184;Wed Feb 22 14:12:48 2017
     30;   304;943;1.180;Wed Feb 22 14:12:58 2017
     31;   314;942;1.179;Wed Feb 22 14:13:08 2017
     32;   324;942;1.179;Wed Feb 22 14:13:18 2017
     33;   334;941;1.178;Wed Feb 22 14:13:28 2017
     34;   344;940;1.176;Wed Feb 22 14:13:38 2017
     35;   354;938;1.174;Wed Feb 22 14:13:48 2017
     36;   364;937;1.173;Wed Feb 22 14:13:58 2017
     37;   374;937;1.173;Wed Feb 22 14:14:08 2017
     38;   384;937;1.173;Wed Feb 22 14:14:18 2017
     39;   394;936;1.171;Wed Feb 22 14:14:28 2017
     40;   404;935;1.170;Wed Feb 22 14:14:38 2017
     41;   414;934;1.169;Wed Feb 22 14:14:48 2017
     42;   424;933;1.168;Wed Feb 22 14:14:58 2017
     43;   434;932;1.166;Wed Feb 22 14:15:08 2017
     44;   444;931;1.165;Wed Feb 22 14:15:18 2017
     45;   454;930;1.164;Wed Feb 22 14:15:28 2017
     46;   464;929;1.163;Wed Feb 22 14:15:38 2017
     47;   474;928;1.161;Wed Feb 22 14:15:48 2017
     48;   484;926;1.159;Wed Feb 22 14:15:58 2017
     49;   494;925;1.158;Wed Feb 22 14:16:08 2017
     50;   504;924;1.156;Wed Feb 22 14:16:18 2017
     51;   514;924;1.156;Wed Feb 22 14:16:28 2017
     52;   525;923;1.155;Wed Feb 22 14:16:39 2017
     53;   535;922;1.154;Wed Feb 22 14:16:49 2017
     54;   545;921;1.153;Wed Feb 22 14:16:59 2017
     55;   555;921;1.153;Wed Feb 22 14:17:09 2017
     56;   565;920;1.152;Wed Feb 22 14:17:19 2017
     57;   575;917;1.148;Wed Feb 22 14:17:29 2017
     58;   585;916;1.147;Wed Feb 22 14:17:39 2017
     59;   596;916;1.147;Wed Feb 22 14:17:50 2017
     60;   606;916;1.147;Wed Feb 22 14:18:00 2017
     61;   616;915;1.145;Wed Feb 22 14:18:10 2017
     62;   626;914;1.144;Wed Feb 22 14:18:20 2017
     63;   636;914;1.144;Wed Feb 22 14:18:30 2017
     64;   646;913;1.143;Wed Feb 22 14:18:40 2017
     65;   656;912;1.142;Wed Feb 22 14:18:50 2017
     66;   666;912;1.142;Wed Feb 22 14:19:00 2017
     67;   676;911;1.140;Wed Feb 22 14:19:10 2017
     68;   686;910;1.139;Wed Feb 22 14:19:20 2017
     69;   696;910;1.139;Wed Feb 22 14:19:30 2017
     70;   706;906;1.134;Wed Feb 22 14:19:40 2017
     71;   716;907;1.135;Wed Feb 22 14:19:50 2017
     72;   726;906;1.134;Wed Feb 22 14:20:00 2017
     73;   737;905;1.133;Wed Feb 22 14:20:11 2017
     74;   747;905;1.133;Wed Feb 22 14:20:21 2017
     75;   757;905;1.133;Wed Feb 22 14:20:31 2017
     76;   767;901;1.128;Wed Feb 22 14:20:41 2017
     77;   777;902;1.129;Wed Feb 22 14:20:51 2017
     78;   787;902;1.129;Wed Feb 22 14:21:01 2017
     79;   797;902;1.129;Wed Feb 22 14:21:11 2017
     80;   807;901;1.128;Wed Feb 22 14:21:21 2017
     81;   817;900;1.127;Wed Feb 22 14:21:31 2017
     82;   827;900;1.127;Wed Feb 22 14:21:41 2017
     83;   837;900;1.127;Wed Feb 22 14:21:51 2017
     84;   847;899;1.125;Wed Feb 22 14:22:01 2017
     85;   857;899;1.125;Wed Feb 22 14:22:11 2017
     86;   867;898;1.124;Wed Feb 22 14:22:21 2017
     87;   877;898;1.124;Wed Feb 22 14:22:31 2017
     88;   887;897;1.123;Wed Feb 22 14:22:41 2017
     89;   897;893;1.118;Wed Feb 22 14:22:51 2017
     90;   907;893;1.118;Wed Feb 22 14:23:01 2017
     91;   917;892;1.117;Wed Feb 22 14:23:11 2017
     92;   927;892;1.117;Wed Feb 22 14:23:21 2017
     93;   937;892;1.117;Wed Feb 22 14:23:31 2017
     94;   947;891;1.115;Wed Feb 22 14:23:41 2017
     95;   958;891;1.115;Wed Feb 22 14:23:52 2017
     96;   968;890;1.114;Wed Feb 22 14:24:02 2017
     97;   978;890;1.114;Wed Feb 22 14:24:12 2017
     98;   988;890;1.114;Wed Feb 22 14:24:22 2017
     99;   998;889;1.113;Wed Feb 22 14:24:32 2017
    100;  1008;889;1.113;Wed Feb 22 14:24:42 2017
    101;  1018;888;1.112;Wed Feb 22 14:24:52 2017
    102;  1028;888;1.112;Wed Feb 22 14:25:02 2017
    103;  1038;887;1.110;Wed Feb 22 14:25:12 2017
    104;  1048;887;1.110;Wed Feb 22 14:25:22 2017
    105;  1058;887;1.110;Wed Feb 22 14:25:32 2017
    106;  1068;887;1.110;Wed Feb 22 14:25:42 2017
    107;  1078;886;1.109;Wed Feb 22 14:25:52 2017
    108;  1088;886;1.109;Wed Feb 22 14:26:02 2017
    109;  1098;885;1.108;Wed Feb 22 14:26:12 2017
    110;  1108;885;1.108;Wed Feb 22 14:26:22 2017
    111;  1118;885;1.108;Wed Feb 22 14:26:32 2017
    112;  1128;885;1.108;Wed Feb 22 14:26:42 2017
    113;  1138;884;1.107;Wed Feb 22 14:26:52 2017
    114;  1148;884;1.107;Wed Feb 22 14:27:02 2017
    115;  1158;884;1.107;Wed Feb 22 14:27:12 2017
    116;  1168;884;1.107;Wed Feb 22 14:27:22 2017
    117;  1178;883;1.105;Wed Feb 22 14:27:32 2017
    118;  1189;883;1.105;Wed Feb 22 14:27:43 2017
    119;  1199;883;1.105;Wed Feb 22 14:27:53 2017
    120;  1209;882;1.104;Wed Feb 22 14:28:03 2017
    121;  1219;882;1.104;Wed Feb 22 14:28:13 2017
    122;  1229;882;1.104;Wed Feb 22 14:28:23 2017
    123;  1239;882;1.104;Wed Feb 22 14:28:33 2017
    124;  1249;881;1.103;Wed Feb 22 14:28:43 2017
    125;  1259;881;1.103;Wed Feb 22 14:28:53 2017
    126;  1269;881;1.103;Wed Feb 22 14:29:03 2017
    127;  1279;881;1.103;Wed Feb 22 14:29:13 2017
    128;  1289;881;1.103;Wed Feb 22 14:29:23 2017
    129;  1299;881;1.103;Wed Feb 22 14:29:33 2017
    130;  1309;880;1.102;Wed Feb 22 14:29:43 2017
    131;  1319;880;1.102;Wed Feb 22 14:29:53 2017
    132;  1329;880;1.102;Wed Feb 22 14:30:03 2017
    133;  1339;880;1.102;Wed Feb 22 14:30:13 2017
    134;  1349;880;1.102;Wed Feb 22 14:30:23 2017
    135;  1359;880;1.102;Wed Feb 22 14:30:33 2017
    136;  1369;879;1.100;Wed Feb 22 14:30:43 2017
    137;  1379;879;1.100;Wed Feb 22 14:30:53 2017
    138;  1389;879;1.100;Wed Feb 22 14:31:03 2017
    139;  1399;879;1.100;Wed Feb 22 14:31:13 2017
    140;  1410;879;1.100;Wed Feb 22 14:31:24 2017
    141;  1420;878;1.099;Wed Feb 22 14:31:34 2017
    142;  1430;879;1.100;Wed Feb 22 14:31:44 2017
    143;  1440;878;1.099;Wed Feb 22 14:31:54 2017
    144;  1450;878;1.099;Wed Feb 22 14:32:04 2017
    145;  1460;878;1.099;Wed Feb 22 14:32:14 2017
    146;  1470;878;1.099;Wed Feb 22 14:32:24 2017
    147;  1480;878;1.099;Wed Feb 22 14:32:34 2017
    148;  1490;878;1.099;Wed Feb 22 14:32:44 2017
    149;  1500;878;1.099;Wed Feb 22 14:32:54 2017
    150;  1510;878;1.099;Wed Feb 22 14:33:04 2017
    151;  1520;877;1.098;Wed Feb 22 14:33:14 2017
    152;  1530;878;1.099;Wed Feb 22 14:33:24 2017
    153;  1540;877;1.098;Wed Feb 22 14:33:34 2017
    154;  1550;877;1.098;Wed Feb 22 14:33:44 2017
    155;  1560;877;1.098;Wed Feb 22 14:33:54 2017
    156;  1570;877;1.098;Wed Feb 22 14:34:04 2017
    157;  1580;877;1.098;Wed Feb 22 14:34:14 2017
    158;  1590;877;1.098;Wed Feb 22 14:34:24 2017
    159;  1600;877;1.098;Wed Feb 22 14:34:34 2017
    160;  1610;877;1.098;Wed Feb 22 14:34:44 2017
    161;  1620;877;1.098;Wed Feb 22 14:34:54 2017
    162;  1631;877;1.098;Wed Feb 22 14:35:05 2017
    163;  1641;877;1.098;Wed Feb 22 14:35:15 2017
    164;  1651;877;1.098;Wed Feb 22 14:35:25 2017
    165;  1661;877;1.098;Wed Feb 22 14:35:35 2017
    166;  1671;876;1.097;Wed Feb 22 14:35:45 2017
    167;  1681;877;1.098;Wed Feb 22 14:35:55 2017
    168;  1691;877;1.098;Wed Feb 22 14:36:05 2017
    169;  1701;876;1.097;Wed Feb 22 14:36:15 2017
    170;  1711;876;1.097;Wed Feb 22 14:36:25 2017
    171;  1721;876;1.097;Wed Feb 22 14:36:35 2017
    172;  1731;876;1.097;Wed Feb 22 14:36:45 2017
    173;  1741;876;1.097;Wed Feb 22 14:36:55 2017
    174;  1751;876;1.097;Wed Feb 22 14:37:05 2017
    175;  1761;876;1.097;Wed Feb 22 14:37:15 2017
    176;  1771;876;1.097;Wed Feb 22 14:37:25 2017
    177;  1781;876;1.097;Wed Feb 22 14:37:35 2017
    178;  1791;876;1.097;Wed Feb 22 14:37:45 2017
    179;  1801;876;1.097;Wed Feb 22 14:37:55 2017
    180;  1811;876;1.097;Wed Feb 22 14:38:05 2017
    181;  1821;876;1.097;Wed Feb 22 14:38:15 2017
    182;  1832;876;1.097;Wed Feb 22 14:38:26 2017
    183;  1842;876;1.097;Wed Feb 22 14:38:36 2017
    184;  1852;876;1.097;Wed Feb 22 14:38:46 2017
    185;  1862;876;1.097;Wed Feb 22 14:38:56 2017
    186;  1872;876;1.097;Wed Feb 22 14:39:06 2017
    187;  1882;876;1.097;Wed Feb 22 14:39:16 2017
    188;  1892;876;1.097;Wed Feb 22 14:39:26 2017
    189;  1902;876;1.097;Wed Feb 22 14:39:36 2017
    190;  1912;876;1.097;Wed Feb 22 14:39:46 2017
    191;  1922;876;1.097;Wed Feb 22 14:39:56 2017
    192;  1932;876;1.097;Wed Feb 22 14:40:06 2017
    193;  1942;876;1.097;Wed Feb 22 14:40:16 2017
    194;  1952;876;1.097;Wed Feb 22 14:40:26 2017
    195;  1962;876;1.097;Wed Feb 22 14:40:36 2017
    196;  1972;876;1.097;Wed Feb 22 14:40:46 2017
    197;  1983;876;1.097;Wed Feb 22 14:40:57 2017
    198;  1993;876;1.097;Wed Feb 22 14:41:07 2017
    199;  2003;876;1.097;Wed Feb 22 14:41:17 2017
    200;  2013;876;1.097;Wed Feb 22 14:41:27 2017
    201;  2023;875;1.095;Wed Feb 22 14:41:37 2017
    202;  2033;875;1.095;Wed Feb 22 14:41:47 2017
    203;  2043;876;1.097;Wed Feb 22 14:41:57 2017
    204;  2053;876;1.097;Wed Feb 22 14:42:07 2017
