N°;Secondes;Brut;Volts;Date
    138;   120; 65;1.309;Thu Dec 15 21:55:18 2016
    277;   240; 65;1.309;Thu Dec 15 21:57:18 2016
    416;   360; 65;1.309;Thu Dec 15 21:59:18 2016
    555;   480; 65;1.309;Thu Dec 15 22:01:18 2016
    694;   600; 65;1.309;Thu Dec 15 22:03:18 2016
    834;   720; 65;1.309;Thu Dec 15 22:05:18 2016
    972;   840; 65;1.309;Thu Dec 15 22:07:18 2016
   1111;   960; 65;1.309;Thu Dec 15 22:09:18 2016
   1250;  1080; 65;1.309;Thu Dec 15 22:11:18 2016
   1389;  1200; 64;1.289;Thu Dec 15 22:13:18 2016
   1529;  1320; 64;1.289;Thu Dec 15 22:15:18 2016
   1668;  1440; 64;1.289;Thu Dec 15 22:17:18 2016
   1807;  1560; 64;1.289;Thu Dec 15 22:19:18 2016
   1946;  1680; 64;1.289;Thu Dec 15 22:21:18 2016
   2085;  1800; 64;1.289;Thu Dec 15 22:23:18 2016
   2224;  1920; 64;1.289;Thu Dec 15 22:25:18 2016
   2363;  2040; 64;1.289;Thu Dec 15 22:27:18 2016
   2502;  2160; 64;1.289;Thu Dec 15 22:29:18 2016
   2641;  2280; 64;1.289;Thu Dec 15 22:31:18 2016
   2780;  2400; 64;1.289;Thu Dec 15 22:33:18 2016
   2920;  2520; 64;1.289;Thu Dec 15 22:35:18 2016
   3058;  2640; 64;1.289;Thu Dec 15 22:37:18 2016
   3197;  2760; 64;1.289;Thu Dec 15 22:39:18 2016
   3337;  2880; 64;1.289;Thu Dec 15 22:41:18 2016
   3476;  3000; 64;1.289;Thu Dec 15 22:43:18 2016
   3615;  3120; 64;1.289;Thu Dec 15 22:45:18 2016
   3753;  3240; 64;1.289;Thu Dec 15 22:47:18 2016
   3893;  3360; 64;1.289;Thu Dec 15 22:49:18 2016
   4032;  3480; 64;1.289;Thu Dec 15 22:51:18 2016
   4171;  3600; 64;1.289;Thu Dec 15 22:53:18 2016
   4310;  3720; 64;1.289;Thu Dec 15 22:55:18 2016
   4449;  3840; 63;1.269;Thu Dec 15 22:57:18 2016
   4588;  3960; 63;1.269;Thu Dec 15 22:59:18 2016
   4726;  4080; 63;1.269;Thu Dec 15 23:01:18 2016
   4865;  4200; 63;1.269;Thu Dec 15 23:03:18 2016
   5005;  4320; 63;1.269;Thu Dec 15 23:05:18 2016
   5144;  4440; 63;1.269;Thu Dec 15 23:07:18 2016
   5283;  4560; 63;1.269;Thu Dec 15 23:09:18 2016
   5422;  4680; 63;1.269;Thu Dec 15 23:11:18 2016
   5561;  4800; 63;1.269;Thu Dec 15 23:13:18 2016
   5700;  4920; 63;1.269;Thu Dec 15 23:15:18 2016
   5838;  5040; 63;1.269;Thu Dec 15 23:17:18 2016
   5977;  5160; 63;1.269;Thu Dec 15 23:19:18 2016
   6116;  5280; 63;1.269;Thu Dec 15 23:21:18 2016
   6255;  5400; 63;1.269;Thu Dec 15 23:23:18 2016
   6395;  5520; 63;1.269;Thu Dec 15 23:25:18 2016
   6534;  5640; 63;1.269;Thu Dec 15 23:27:18 2016
   6672;  5760; 63;1.269;Thu Dec 15 23:29:18 2016
   6812;  5880; 63;1.269;Thu Dec 15 23:31:18 2016
   6951;  6000; 63;1.269;Thu Dec 15 23:33:18 2016
   7090;  6120; 63;1.269;Thu Dec 15 23:35:18 2016
   7229;  6240; 63;1.269;Thu Dec 15 23:37:18 2016
   7368;  6360; 63;1.269;Thu Dec 15 23:39:18 2016
   7508;  6480; 63;1.269;Thu Dec 15 23:41:18 2016
   7647;  6600; 63;1.269;Thu Dec 15 23:43:18 2016
   7786;  6720; 63;1.269;Thu Dec 15 23:45:18 2016
   7925;  6840; 63;1.269;Thu Dec 15 23:47:18 2016
   8064;  6960; 63;1.269;Thu Dec 15 23:49:18 2016
   8203;  7080; 63;1.269;Thu Dec 15 23:51:18 2016
   8342;  7200; 63;1.269;Thu Dec 15 23:53:18 2016
   8481;  7320; 63;1.269;Thu Dec 15 23:55:18 2016
   8620;  7440; 63;1.269;Thu Dec 15 23:57:18 2016
   8760;  7560; 63;1.269;Thu Dec 15 23:59:18 2016
   8899;  7680; 63;1.269;Fri Dec 16 00:01:18 2016
   9038;  7800; 63;1.269;Fri Dec 16 00:03:18 2016
   9177;  7920; 63;1.269;Fri Dec 16 00:05:18 2016
   9316;  8040; 63;1.269;Fri Dec 16 00:07:18 2016
   9456;  8160; 63;1.269;Fri Dec 16 00:09:18 2016
   9595;  8280; 63;1.269;Fri Dec 16 00:11:18 2016
   9734;  8400; 63;1.269;Fri Dec 16 00:13:18 2016
   9873;  8520; 63;1.269;Fri Dec 16 00:15:18 2016
  10012;  8640; 62;1.250;Fri Dec 16 00:17:18 2016
  10151;  8760; 63;1.269;Fri Dec 16 00:19:18 2016
  10291;  8880; 63;1.269;Fri Dec 16 00:21:18 2016
  10430;  9000; 63;1.269;Fri Dec 16 00:23:18 2016
  10569;  9120; 63;1.269;Fri Dec 16 00:25:18 2016
  10708;  9240; 63;1.269;Fri Dec 16 00:27:18 2016
  10847;  9360; 63;1.269;Fri Dec 16 00:29:18 2016
  10987;  9480; 62;1.250;Fri Dec 16 00:31:18 2016
  11126;  9600; 63;1.269;Fri Dec 16 00:33:18 2016
  11265;  9720; 62;1.250;Fri Dec 16 00:35:18 2016
  11404;  9840; 63;1.269;Fri Dec 16 00:37:18 2016
  11543;  9960; 62;1.250;Fri Dec 16 00:39:18 2016
  11682; 10080; 63;1.269;Fri Dec 16 00:41:18 2016
  11821; 10200; 62;1.250;Fri Dec 16 00:43:18 2016
  11961; 10320; 62;1.250;Fri Dec 16 00:45:18 2016
  12100; 10440; 62;1.250;Fri Dec 16 00:47:18 2016
  12239; 10560; 62;1.250;Fri Dec 16 00:49:18 2016
  12378; 10680; 62;1.250;Fri Dec 16 00:51:18 2016
  12517; 10800; 62;1.250;Fri Dec 16 00:53:18 2016
  12656; 10920; 62;1.250;Fri Dec 16 00:55:18 2016
  12796; 11040; 62;1.250;Fri Dec 16 00:57:18 2016
  12934; 11160; 62;1.250;Fri Dec 16 00:59:18 2016
  13073; 11280; 62;1.250;Fri Dec 16 01:01:18 2016
  13213; 11400; 62;1.250;Fri Dec 16 01:03:18 2016
  13351; 11520; 62;1.250;Fri Dec 16 01:05:18 2016
  13490; 11640; 62;1.250;Fri Dec 16 01:07:18 2016
