N°;Secondes;Brut;Volts;Date
    102;  1025;1175;1.469;Mon Feb 20 17:04:24 2017
    103;  1035;1174;1.468;Mon Feb 20 17:04:34 2017
    104;  1045;1172;1.465;Mon Feb 20 17:04:44 2017
    105;  1055;1174;1.468;Mon Feb 20 17:04:54 2017
    106;  1065;1174;1.468;Mon Feb 20 17:05:04 2017
    107;  1075;1175;1.469;Mon Feb 20 17:05:14 2017
    108;  1085;1176;1.470;Mon Feb 20 17:05:24 2017
    109;  1095;1178;1.473;Mon Feb 20 17:05:34 2017
    110;  1105;1176;1.470;Mon Feb 20 17:05:44 2017
    111;  1115;1173;1.467;Mon Feb 20 17:05:54 2017
    112;  1125;1175;1.469;Mon Feb 20 17:06:04 2017
    113;  1135;1178;1.473;Mon Feb 20 17:06:14 2017
    114;  1145;1175;1.469;Mon Feb 20 17:06:24 2017
    115;  1155;1175;1.469;Mon Feb 20 17:06:34 2017
    116;  1165;1174;1.468;Mon Feb 20 17:06:44 2017
    117;  1175;1174;1.468;Mon Feb 20 17:06:54 2017
    118;  1185;1175;1.469;Mon Feb 20 17:07:04 2017
    119;  1195;1176;1.470;Mon Feb 20 17:07:14 2017
    120;  1205;1176;1.470;Mon Feb 20 17:07:24 2017
    121;  1215;1177;1.472;Mon Feb 20 17:07:34 2017
    122;  1225;1174;1.468;Mon Feb 20 17:07:44 2017
    123;  1235;1178;1.473;Mon Feb 20 17:07:54 2017
    124;  1246;1175;1.469;Mon Feb 20 17:08:05 2017
    125;  1256;1176;1.470;Mon Feb 20 17:08:15 2017
    126;  1266;1177;1.472;Mon Feb 20 17:08:25 2017
    127;  1276;1176;1.470;Mon Feb 20 17:08:35 2017
    128;  1286;1177;1.472;Mon Feb 20 17:08:45 2017
    129;  1296;1176;1.470;Mon Feb 20 17:08:55 2017
    130;  1306;1176;1.470;Mon Feb 20 17:09:05 2017
    131;  1316;1174;1.468;Mon Feb 20 17:09:15 2017
    132;  1326;1177;1.472;Mon Feb 20 17:09:25 2017
    133;  1336;1177;1.472;Mon Feb 20 17:09:35 2017
    134;  1346;1176;1.470;Mon Feb 20 17:09:45 2017
    135;  1356;1179;1.474;Mon Feb 20 17:09:55 2017
    136;  1366;1179;1.474;Mon Feb 20 17:10:05 2017
    137;  1376;1178;1.473;Mon Feb 20 17:10:15 2017
    138;  1386;1177;1.472;Mon Feb 20 17:10:25 2017
    139;  1396;1178;1.473;Mon Feb 20 17:10:35 2017
    140;  1406;1177;1.472;Mon Feb 20 17:10:45 2017
    141;  1416;1178;1.473;Mon Feb 20 17:10:55 2017
    142;  1426;1176;1.470;Mon Feb 20 17:11:05 2017
    143;  1436;1178;1.473;Mon Feb 20 17:11:15 2017
    144;  1446;1181;1.476;Mon Feb 20 17:11:25 2017
    145;  1456;1177;1.472;Mon Feb 20 17:11:35 2017
    146;  1466;1179;1.474;Mon Feb 20 17:11:45 2017
    147;  1477;1179;1.474;Mon Feb 20 17:11:56 2017
    148;  1487;1180;1.475;Mon Feb 20 17:12:06 2017
    149;  1497;1179;1.474;Mon Feb 20 17:12:16 2017
    150;  1507;1179;1.474;Mon Feb 20 17:12:26 2017
    151;  1517;1181;1.476;Mon Feb 20 17:12:36 2017
    152;  1527;1179;1.474;Mon Feb 20 17:12:46 2017
    153;  1537;1180;1.475;Mon Feb 20 17:12:56 2017
    154;  1547;1182;1.478;Mon Feb 20 17:13:06 2017
    155;  1557;1179;1.474;Mon Feb 20 17:13:16 2017
    156;  1567;1177;1.472;Mon Feb 20 17:13:26 2017
    157;  1577;1181;1.476;Mon Feb 20 17:13:36 2017
    158;  1587;1176;1.470;Mon Feb 20 17:13:46 2017
    159;  1597;1180;1.475;Mon Feb 20 17:13:56 2017
    160;  1607;1179;1.474;Mon Feb 20 17:14:06 2017
    161;  1617;1177;1.472;Mon Feb 20 17:14:16 2017
    162;  1627;1177;1.472;Mon Feb 20 17:14:26 2017
    163;  1637;1183;1.479;Mon Feb 20 17:14:36 2017
    164;  1647;1180;1.475;Mon Feb 20 17:14:46 2017
    165;  1657;1180;1.475;Mon Feb 20 17:14:56 2017
    166;  1667;1183;1.479;Mon Feb 20 17:15:06 2017
    167;  1677;1182;1.478;Mon Feb 20 17:15:16 2017
    168;  1687;1179;1.474;Mon Feb 20 17:15:26 2017
    169;  1698;1184;1.480;Mon Feb 20 17:15:37 2017
    170;  1708;1183;1.479;Mon Feb 20 17:15:47 2017
    171;  1718;1179;1.474;Mon Feb 20 17:15:57 2017
    172;  1728;1183;1.479;Mon Feb 20 17:16:07 2017
    173;  1738;1177;1.472;Mon Feb 20 17:16:17 2017
    174;  1748;1180;1.475;Mon Feb 20 17:16:27 2017
    175;  1758;1180;1.475;Mon Feb 20 17:16:37 2017
    176;  1768;1181;1.476;Mon Feb 20 17:16:47 2017
    177;  1778;1184;1.480;Mon Feb 20 17:16:57 2017
    178;  1788;1181;1.476;Mon Feb 20 17:17:07 2017
    179;  1798;1182;1.478;Mon Feb 20 17:17:17 2017
    180;  1808;1183;1.479;Mon Feb 20 17:17:27 2017
    181;  1818;1182;1.478;Mon Feb 20 17:17:37 2017
    182;  1828;1183;1.479;Mon Feb 20 17:17:47 2017
    183;  1838;1184;1.480;Mon Feb 20 17:17:57 2017
    184;  1848;1182;1.478;Mon Feb 20 17:18:07 2017
    185;  1858;1186;1.483;Mon Feb 20 17:18:17 2017
    186;  1868;1183;1.479;Mon Feb 20 17:18:27 2017
    187;  1878;1180;1.475;Mon Feb 20 17:18:37 2017
    188;  1888;1184;1.480;Mon Feb 20 17:18:47 2017
    189;  1898;1184;1.480;Mon Feb 20 17:18:57 2017
    190;  1908;1183;1.479;Mon Feb 20 17:19:07 2017
    191;  1918;1182;1.478;Mon Feb 20 17:19:17 2017
    192;  1929;1181;1.476;Mon Feb 20 17:19:28 2017
    193;  1939;1185;1.481;Mon Feb 20 17:19:38 2017
    194;  1949;1183;1.479;Mon Feb 20 17:19:48 2017
    195;  1959;1184;1.480;Mon Feb 20 17:19:58 2017
    196;  1969;1187;1.484;Mon Feb 20 17:20:08 2017
    197;  1979;1185;1.481;Mon Feb 20 17:20:18 2017
    198;  1989;1183;1.479;Mon Feb 20 17:20:28 2017
    199;  1999;1185;1.481;Mon Feb 20 17:20:38 2017
    200;  2009;1185;1.481;Mon Feb 20 17:20:48 2017
    201;  2019;1185;1.481;Mon Feb 20 17:20:58 2017
