N°;Secondes;Brut;Volts;Date
      0;     0; 67;1.348;Tue Dec 13 03:49:14 2016
    139;   120; 66;1.328;Tue Dec 13 03:51:14 2016
    278;   240; 66;1.328;Tue Dec 13 03:53:14 2016
    417;   360; 65;1.309;Tue Dec 13 03:55:14 2016
    556;   480; 65;1.309;Tue Dec 13 03:57:14 2016
    695;   600; 65;1.309;Tue Dec 13 03:59:14 2016
    835;   720; 64;1.289;Tue Dec 13 04:01:14 2016
    974;   840; 64;1.289;Tue Dec 13 04:03:14 2016
   1113;   960; 64;1.289;Tue Dec 13 04:05:14 2016
   1252;  1080; 64;1.289;Tue Dec 13 04:07:14 2016
   1391;  1200; 64;1.289;Tue Dec 13 04:09:14 2016
   1530;  1320; 64;1.289;Tue Dec 13 04:11:14 2016
   1669;  1440; 63;1.269;Tue Dec 13 04:13:14 2016
   1670;  1440; 63;1.269;Tue Dec 13 04:13:14 2016
   1809;  1560; 63;1.269;Tue Dec 13 04:15:14 2016
   1948;  1680; 63;1.269;Tue Dec 13 04:17:14 2016
   2087;  1800; 63;1.269;Tue Dec 13 04:19:14 2016
   2226;  1920; 63;1.269;Tue Dec 13 04:21:14 2016
   2365;  2040; 63;1.269;Tue Dec 13 04:23:14 2016
   2504;  2160; 62;1.250;Tue Dec 13 04:25:14 2016
   2643;  2280; 62;1.250;Tue Dec 13 04:27:14 2016
   2644;  2280; 62;1.250;Tue Dec 13 04:27:14 2016
   2783;  2400; 62;1.250;Tue Dec 13 04:29:14 2016
   2922;  2520; 62;1.250;Tue Dec 13 04:31:14 2016
   3061;  2640; 62;1.250;Tue Dec 13 04:33:14 2016
   3200;  2760; 62;1.250;Tue Dec 13 04:35:14 2016
   3337;  2880; 62;1.250;Tue Dec 13 04:37:14 2016
   3338;  2880; 62;1.250;Tue Dec 13 04:37:14 2016
   3477;  3000; 62;1.250;Tue Dec 13 04:39:14 2016
   3616;  3120; 62;1.250;Tue Dec 13 04:41:14 2016
   3755;  3240; 62;1.250;Tue Dec 13 04:43:14 2016
   3894;  3360; 62;1.250;Tue Dec 13 04:45:14 2016
   4033;  3480; 62;1.250;Tue Dec 13 04:47:14 2016
   4172;  3600; 62;1.250;Tue Dec 13 04:49:14 2016
   4173;  3600; 62;1.250;Tue Dec 13 04:49:14 2016
   4312;  3720; 62;1.250;Tue Dec 13 04:51:14 2016
   4451;  3840; 62;1.250;Tue Dec 13 04:53:14 2016
   4590;  3960; 62;1.250;Tue Dec 13 04:55:14 2016
   4729;  4080; 62;1.250;Tue Dec 13 04:57:14 2016
   4868;  4200; 61;1.230;Tue Dec 13 04:59:14 2016
   5007;  4320; 61;1.230;Tue Dec 13 05:01:14 2016
   5008;  4320; 62;1.250;Tue Dec 13 05:01:14 2016
   5147;  4440; 61;1.230;Tue Dec 13 05:03:14 2016
   5286;  4560; 61;1.230;Tue Dec 13 05:05:14 2016
   5425;  4680; 61;1.230;Tue Dec 13 05:07:14 2016
   5564;  4800; 61;1.230;Tue Dec 13 05:09:14 2016
   5703;  4920; 61;1.230;Tue Dec 13 05:11:14 2016
   5704;  4920; 61;1.230;Tue Dec 13 05:11:14 2016
   5843;  5040; 61;1.230;Tue Dec 13 05:13:14 2016
   5982;  5160; 61;1.230;Tue Dec 13 05:15:14 2016
   6121;  5280; 61;1.230;Tue Dec 13 05:17:14 2016
   6260;  5400; 61;1.230;Tue Dec 13 05:19:14 2016
   6399;  5520; 61;1.230;Tue Dec 13 05:21:14 2016
   6538;  5640; 61;1.230;Tue Dec 13 05:23:14 2016
   6677;  5760; 61;1.230;Tue Dec 13 05:25:14 2016
   6816;  5880; 61;1.230;Tue Dec 13 05:27:14 2016
   6955;  6000; 61;1.230;Tue Dec 13 05:29:14 2016
   7094;  6120; 61;1.230;Tue Dec 13 05:31:14 2016
   7095;  6120; 61;1.230;Tue Dec 13 05:31:14 2016
   7234;  6240; 61;1.230;Tue Dec 13 05:33:14 2016
   7373;  6360; 61;1.230;Tue Dec 13 05:35:14 2016
   7511;  6480; 61;1.230;Tue Dec 13 05:37:14 2016
   7650;  6600; 61;1.230;Tue Dec 13 05:39:14 2016
   7789;  6720; 61;1.230;Tue Dec 13 05:41:14 2016
   7928;  6840; 61;1.230;Tue Dec 13 05:43:14 2016
   8067;  6960; 61;1.230;Tue Dec 13 05:45:14 2016
   8068;  6960; 61;1.230;Tue Dec 13 05:45:14 2016
   8207;  7080; 61;1.230;Tue Dec 13 05:47:14 2016
   8346;  7200; 61;1.230;Tue Dec 13 05:49:14 2016
   8485;  7320; 61;1.230;Tue Dec 13 05:51:14 2016
   8624;  7440; 61;1.230;Tue Dec 13 05:53:14 2016
   8763;  7560; 61;1.230;Tue Dec 13 05:55:14 2016
   8902;  7680; 61;1.230;Tue Dec 13 05:57:14 2016
   9041;  7800; 61;1.230;Tue Dec 13 05:59:14 2016
   9042;  7800; 61;1.230;Tue Dec 13 05:59:14 2016
   9181;  7920; 61;1.230;Tue Dec 13 06:01:14 2016
   9320;  8040; 61;1.230;Tue Dec 13 06:03:14 2016
   9459;  8160; 61;1.230;Tue Dec 13 06:05:14 2016
   9598;  8280; 61;1.230;Tue Dec 13 06:07:14 2016
   9737;  8400; 61;1.230;Tue Dec 13 06:09:14 2016
   9876;  8520; 61;1.230;Tue Dec 13 06:11:14 2016
   9877;  8520; 61;1.230;Tue Dec 13 06:11:14 2016
  10016;  8640; 61;1.230;Tue Dec 13 06:13:14 2016
  10154;  8760; 61;1.230;Tue Dec 13 06:15:14 2016
  10155;  8760; 60;1.211;Tue Dec 13 06:15:14 2016
  10294;  8880; 61;1.230;Tue Dec 13 06:17:14 2016
  10433;  9000; 60;1.211;Tue Dec 13 06:19:14 2016
  10572;  9120; 60;1.211;Tue Dec 13 06:21:14 2016
  10711;  9240; 60;1.211;Tue Dec 13 06:23:14 2016
  10850;  9360; 60;1.211;Tue Dec 13 06:25:14 2016
  10986;  9480; 60;1.211;Tue Dec 13 06:27:14 2016
  11125;  9600; 60;1.211;Tue Dec 13 06:29:14 2016
  11126;  9600; 60;1.211;Tue Dec 13 06:29:14 2016
  11265;  9720; 60;1.211;Tue Dec 13 06:31:14 2016
  11404;  9840; 60;1.211;Tue Dec 13 06:33:14 2016
  11542;  9960; 60;1.211;Tue Dec 13 06:35:14 2016
  11681; 10080; 60;1.211;Tue Dec 13 06:37:14 2016
  11820; 10200; 60;1.211;Tue Dec 13 06:39:14 2016
  11959; 10320; 60;1.211;Tue Dec 13 06:41:14 2016
  11960; 10320; 60;1.211;Tue Dec 13 06:41:14 2016
  12099; 10440; 60;1.211;Tue Dec 13 06:43:14 2016
  12238; 10560; 60;1.211;Tue Dec 13 06:45:14 2016
  12377; 10680; 60;1.211;Tue Dec 13 06:47:14 2016
  12516; 10800; 60;1.211;Tue Dec 13 06:49:14 2016
  12655; 10920; 60;1.211;Tue Dec 13 06:51:14 2016
  12794; 11040; 60;1.211;Tue Dec 13 06:53:14 2016
  12795; 11040; 60;1.211;Tue Dec 13 06:53:14 2016
  12934; 11160; 60;1.211;Tue Dec 13 06:55:14 2016
  13073; 11280; 60;1.211;Tue Dec 13 06:57:14 2016
  13212; 11400; 60;1.211;Tue Dec 13 06:59:14 2016
  13351; 11520; 60;1.211;Tue Dec 13 07:01:14 2016
  13490; 11640; 60;1.211;Tue Dec 13 07:03:14 2016
  13491; 11640; 60;1.211;Tue Dec 13 07:03:14 2016
  13630; 11760; 60;1.211;Tue Dec 13 07:05:14 2016
  13769; 11880; 60;1.211;Tue Dec 13 07:07:14 2016
  13908; 12000; 60;1.211;Tue Dec 13 07:09:14 2016
  14047; 12120; 60;1.211;Tue Dec 13 07:11:14 2016
  14186; 12240; 60;1.211;Tue Dec 13 07:13:14 2016
  14325; 12360; 60;1.211;Tue Dec 13 07:15:14 2016
  14326; 12360; 60;1.211;Tue Dec 13 07:15:14 2016
  14465; 12480; 60;1.211;Tue Dec 13 07:17:14 2016
  14603; 12600; 60;1.211;Tue Dec 13 07:19:14 2016
  14604; 12600; 60;1.211;Tue Dec 13 07:19:14 2016
  14743; 12720; 60;1.211;Tue Dec 13 07:21:14 2016
  14882; 12840; 60;1.211;Tue Dec 13 07:23:14 2016
  15021; 12960; 60;1.211;Tue Dec 13 07:25:14 2016
  15160; 13080; 60;1.211;Tue Dec 13 07:27:14 2016
  15299; 13200; 60;1.211;Tue Dec 13 07:29:14 2016
  15439; 13320; 60;1.211;Tue Dec 13 07:31:14 2016
  15578; 13440; 60;1.211;Tue Dec 13 07:33:14 2016
  15717; 13560; 60;1.211;Tue Dec 13 07:35:14 2016
  15854; 13680; 60;1.211;Tue Dec 13 07:37:14 2016
  15993; 13800; 60;1.211;Tue Dec 13 07:39:14 2016
  16132; 13920; 60;1.211;Tue Dec 13 07:41:14 2016
  16133; 13920; 60;1.211;Tue Dec 13 07:41:14 2016
  16272; 14040; 60;1.211;Tue Dec 13 07:43:14 2016
  16410; 14160; 60;1.211;Tue Dec 13 07:45:14 2016
  16549; 14280; 60;1.211;Tue Dec 13 07:47:14 2016
  16550; 14280; 60;1.211;Tue Dec 13 07:47:14 2016
  16689; 14400; 60;1.211;Tue Dec 13 07:49:14 2016
  16828; 14520; 60;1.211;Tue Dec 13 07:51:14 2016
  16967; 14640; 60;1.211;Tue Dec 13 07:53:14 2016
  17106; 14760; 60;1.211;Tue Dec 13 07:55:14 2016
  17245; 14880; 60;1.211;Tue Dec 13 07:57:14 2016
  17384; 15000; 60;1.211;Tue Dec 13 07:59:14 2016
  17523; 15120; 60;1.211;Tue Dec 13 08:01:14 2016
  17524; 15120; 60;1.211;Tue Dec 13 08:01:14 2016
  17663; 15240; 60;1.211;Tue Dec 13 08:03:14 2016
  17802; 15360; 60;1.211;Tue Dec 13 08:05:14 2016
  17941; 15480; 60;1.211;Tue Dec 13 08:07:14 2016
  18080; 15600; 60;1.211;Tue Dec 13 08:09:14 2016
