N°;Secondes;Brut;Volts;Date
      0;     6;1026;1.283;Tue Feb 21 21:12:04 2017
      1;    16;1163;1.454;Tue Feb 21 21:12:14 2017
      2;    26;1178;1.473;Tue Feb 21 21:12:24 2017
      3;    37;1177;1.472;Tue Feb 21 21:12:35 2017
      4;    47;1177;1.472;Tue Feb 21 21:12:45 2017
      5;    57;1177;1.472;Tue Feb 21 21:12:55 2017
      6;    67;1176;1.470;Tue Feb 21 21:13:05 2017
      7;    77;1176;1.470;Tue Feb 21 21:13:15 2017
      8;    87;1176;1.470;Tue Feb 21 21:13:25 2017
      9;    97;1176;1.470;Tue Feb 21 21:13:35 2017
     10;   107;1176;1.470;Tue Feb 21 21:13:45 2017
     11;   117;1177;1.472;Tue Feb 21 21:13:55 2017
     12;   127;1176;1.470;Tue Feb 21 21:14:05 2017
     13;   137;1177;1.472;Tue Feb 21 21:14:15 2017
     14;   147;1177;1.472;Tue Feb 21 21:14:25 2017
     15;   157;1177;1.472;Tue Feb 21 21:14:35 2017
     16;   168;1176;1.470;Tue Feb 21 21:14:46 2017
     17;   178;1176;1.470;Tue Feb 21 21:14:56 2017
     18;   188;1176;1.470;Tue Feb 21 21:15:06 2017
     19;   198;1175;1.469;Tue Feb 21 21:15:16 2017
     20;   204;1175;1.469;Tue Feb 21 21:15:22 2017
     21;   214;1175;1.469;Tue Feb 21 21:15:32 2017
     22;   224;1144;1.430;Tue Feb 21 21:15:42 2017
     23;   226;1144;1.430;Tue Feb 21 21:15:44 2017
     24;   236;1142;1.428;Tue Feb 21 21:15:54 2017
     25;   246;1141;1.427;Tue Feb 21 21:16:04 2017
     26;   246;1141;1.427;Tue Feb 21 21:16:04 2017
