N°;Secondes;Brut;Volts;Date
      0;     0; 70;1.406;Tue Dec 27 21:16:23 2016
     27;    23; 69;1.387;Tue Dec 27 21:16:46 2016
    754;   651; 68;1.367;Tue Dec 27 21:27:14 2016
   2305;  1988; 67;1.348;Tue Dec 27 21:49:31 2016
   3281;  2830; 66;1.328;Tue Dec 27 22:03:33 2016
   3548;  3060; 65;1.309;Tue Dec 27 22:07:23 2016
   9928;  8563; 64;1.289;Tue Dec 27 23:39:06 2016
  10755;  9276; 63;1.269;Tue Dec 27 23:50:59 2016
  24769; 21361; 62;1.250;Wed Dec 28 03:12:24 2016
  25786; 22239; 61;1.230;Wed Dec 28 03:27:02 2016
  60610; 52271; 60;1.211;Wed Dec 28 11:47:34 2016
  61111; 52703; 59;1.191;Wed Dec 28 11:54:46 2016
  80944; 69808; 57;1.152;Wed Dec 28 16:39:51 2016
  87242; 75239; 56;1.133;Wed Dec 28 18:10:22 2016
  90722; 78241; 55;1.113;Wed Dec 28 19:00:24 2016
  92494; 79769; 54;1.094;Wed Dec 28 19:25:52 2016
  92494; 79769; 54;1.094;Wed Dec 28 19:25:52 2016
