     0;     1; 67;1.339;Tue Dec  6 18:32:31 2016
     6;    63; 66;1.319;Tue Dec  6 18:33:33 2016
   113;  1175; 65;1.300;Tue Dec  6 18:52:05 2016
   282;  2926; 64;1.280;Tue Dec  6 19:21:16 2016
   460;  4770; 63;1.260;Tue Dec  6 19:52:00 2016
   601;  6231; 62;1.241;Tue Dec  6 20:16:21 2016
   779;  8076; 61;1.221;Tue Dec  6 20:47:06 2016
   914;  9475; 60;1.202;Tue Dec  6 21:10:25 2016
   999; 10355; 59;1.182;Tue Dec  6 21:25:05 2016
  1066; 11050; 58;1.163;Tue Dec  6 21:36:40 2016
  1116; 11568; 57;1.143;Tue Dec  6 21:45:18 2016
  1158; 12003; 56;1.124;Tue Dec  6 21:52:33 2016
  1191; 12345; 55;1.104;Tue Dec  6 21:58:15 2016
  1214; 12583; 54;1.085;Tue Dec  6 22:02:13 2016
