N°;Secondes;Brut;Volts;Date
    102;  1026;1196;1.495;Mon Feb 20 21:19:16 2017
    103;  1036;1195;1.494;Mon Feb 20 21:19:26 2017
    104;  1046;1196;1.495;Mon Feb 20 21:19:36 2017
    105;  1056;1193;1.491;Mon Feb 20 21:19:46 2017
    106;  1066;1197;1.496;Mon Feb 20 21:19:56 2017
    107;  1076;1196;1.495;Mon Feb 20 21:20:06 2017
    108;  1086;1198;1.498;Mon Feb 20 21:20:16 2017
    109;  1096;1196;1.495;Mon Feb 20 21:20:26 2017
    110;  1106;1198;1.498;Mon Feb 20 21:20:36 2017
    111;  1116;1199;1.499;Mon Feb 20 21:20:46 2017
    112;  1126;1197;1.496;Mon Feb 20 21:20:56 2017
    113;  1136;1198;1.498;Mon Feb 20 21:21:06 2017
    114;  1146;1198;1.498;Mon Feb 20 21:21:16 2017
    115;  1156;1198;1.498;Mon Feb 20 21:21:26 2017
    116;  1167;1201;1.501;Mon Feb 20 21:21:37 2017
    117;  1177;1201;1.501;Mon Feb 20 21:21:47 2017
    118;  1187;1201;1.501;Mon Feb 20 21:21:57 2017
    119;  1197;1200;1.500;Mon Feb 20 21:22:07 2017
    120;  1207;1200;1.500;Mon Feb 20 21:22:17 2017
    121;  1217;1202;1.503;Mon Feb 20 21:22:27 2017
    122;  1227;1197;1.496;Mon Feb 20 21:22:37 2017
    123;  1237;1201;1.501;Mon Feb 20 21:22:47 2017
    124;  1247;1200;1.500;Mon Feb 20 21:22:57 2017
    125;  1257;1202;1.503;Mon Feb 20 21:23:07 2017
    126;  1267;1201;1.501;Mon Feb 20 21:23:17 2017
    127;  1277;1202;1.503;Mon Feb 20 21:23:27 2017
    128;  1287;1204;1.505;Mon Feb 20 21:23:37 2017
    129;  1297;1203;1.504;Mon Feb 20 21:23:47 2017
    130;  1307;1202;1.503;Mon Feb 20 21:23:57 2017
    131;  1317;1204;1.505;Mon Feb 20 21:24:07 2017
    132;  1327;1205;1.506;Mon Feb 20 21:24:17 2017
    133;  1337;1201;1.501;Mon Feb 20 21:24:27 2017
    134;  1347;1203;1.504;Mon Feb 20 21:24:37 2017
    135;  1357;1203;1.504;Mon Feb 20 21:24:47 2017
    136;  1367;1205;1.506;Mon Feb 20 21:24:57 2017
    137;  1377;1204;1.505;Mon Feb 20 21:25:07 2017
    138;  1388;1205;1.506;Mon Feb 20 21:25:18 2017
    139;  1398;1203;1.504;Mon Feb 20 21:25:28 2017
    140;  1408;1207;1.509;Mon Feb 20 21:25:38 2017
    141;  1418;1208;1.510;Mon Feb 20 21:25:48 2017
    142;  1428;1206;1.508;Mon Feb 20 21:25:58 2017
    143;  1438;1205;1.506;Mon Feb 20 21:26:08 2017
    144;  1448;1209;1.511;Mon Feb 20 21:26:18 2017
    145;  1458;1206;1.508;Mon Feb 20 21:26:28 2017
    146;  1468;1208;1.510;Mon Feb 20 21:26:38 2017
    147;  1478;1206;1.508;Mon Feb 20 21:26:48 2017
    148;  1488;1206;1.508;Mon Feb 20 21:26:58 2017
    149;  1498;1205;1.506;Mon Feb 20 21:27:08 2017
    150;  1508;1209;1.511;Mon Feb 20 21:27:18 2017
    151;  1518;1208;1.510;Mon Feb 20 21:27:28 2017
    152;  1528;1206;1.508;Mon Feb 20 21:27:38 2017
    153;  1538;1209;1.511;Mon Feb 20 21:27:48 2017
    154;  1548;1208;1.510;Mon Feb 20 21:27:58 2017
    155;  1558;1209;1.511;Mon Feb 20 21:28:08 2017
    156;  1568;1210;1.513;Mon Feb 20 21:28:18 2017
    157;  1578;1209;1.511;Mon Feb 20 21:28:28 2017
    158;  1588;1207;1.509;Mon Feb 20 21:28:38 2017
    159;  1598;1210;1.513;Mon Feb 20 21:28:48 2017
    160;  1608;1209;1.511;Mon Feb 20 21:28:58 2017
    161;  1619;1209;1.511;Mon Feb 20 21:29:09 2017
    162;  1629;1210;1.513;Mon Feb 20 21:29:19 2017
    163;  1639;1208;1.510;Mon Feb 20 21:29:29 2017
    164;  1649;1209;1.511;Mon Feb 20 21:29:39 2017
    165;  1659;1209;1.511;Mon Feb 20 21:29:49 2017
    166;  1669;1209;1.511;Mon Feb 20 21:29:59 2017
    167;  1679;1209;1.511;Mon Feb 20 21:30:09 2017
    168;  1689;1211;1.514;Mon Feb 20 21:30:19 2017
    169;  1699;1208;1.510;Mon Feb 20 21:30:29 2017
    170;  1709;1211;1.514;Mon Feb 20 21:30:39 2017
    171;  1719;1211;1.514;Mon Feb 20 21:30:49 2017
    172;  1729;1209;1.511;Mon Feb 20 21:30:59 2017
    173;  1739;1213;1.516;Mon Feb 20 21:31:09 2017
    174;  1749;1211;1.514;Mon Feb 20 21:31:19 2017
    175;  1759;1212;1.515;Mon Feb 20 21:31:29 2017
    176;  1769;1211;1.514;Mon Feb 20 21:31:39 2017
    177;  1779;1212;1.515;Mon Feb 20 21:31:49 2017
    178;  1789;1211;1.514;Mon Feb 20 21:31:59 2017
    179;  1799;1210;1.513;Mon Feb 20 21:32:09 2017
    180;  1809;1212;1.515;Mon Feb 20 21:32:19 2017
    181;  1819;1214;1.518;Mon Feb 20 21:32:29 2017
    182;  1829;1214;1.518;Mon Feb 20 21:32:39 2017
    183;  1840;1215;1.519;Mon Feb 20 21:32:50 2017
    184;  1850;1213;1.516;Mon Feb 20 21:33:00 2017
    185;  1860;1214;1.518;Mon Feb 20 21:33:10 2017
    186;  1870;1215;1.519;Mon Feb 20 21:33:20 2017
    187;  1880;1212;1.515;Mon Feb 20 21:33:30 2017
    188;  1890;1216;1.520;Mon Feb 20 21:33:40 2017
    189;  1900;1215;1.519;Mon Feb 20 21:33:50 2017
    190;  1910;1212;1.515;Mon Feb 20 21:34:00 2017
    191;  1920;1215;1.519;Mon Feb 20 21:34:10 2017
    192;  1930;1216;1.520;Mon Feb 20 21:34:20 2017
    193;  1940;1214;1.518;Mon Feb 20 21:34:30 2017
    194;  1950;1213;1.516;Mon Feb 20 21:34:40 2017
    195;  1960;1216;1.520;Mon Feb 20 21:34:50 2017
    196;  1970;1216;1.520;Mon Feb 20 21:35:00 2017
    197;  1980;1215;1.519;Mon Feb 20 21:35:10 2017
    198;  1990;1216;1.520;Mon Feb 20 21:35:20 2017
    199;  2000;1216;1.520;Mon Feb 20 21:35:30 2017
    200;  2010;1214;1.518;Mon Feb 20 21:35:40 2017
    201;  2020;1217;1.521;Mon Feb 20 21:35:50 2017
    202;  2030;1216;1.520;Mon Feb 20 21:36:00 2017
    203;  2040;1216;1.520;Mon Feb 20 21:36:10 2017
    204;  2050;1218;1.523;Mon Feb 20 21:36:20 2017
    205;  2060;1214;1.518;Mon Feb 20 21:36:30 2017
    206;  2071;1216;1.520;Mon Feb 20 21:36:41 2017
    207;  2081;1216;1.520;Mon Feb 20 21:36:51 2017
    208;  2091;1215;1.519;Mon Feb 20 21:37:01 2017
    209;  2101;1215;1.519;Mon Feb 20 21:37:11 2017
    210;  2111;1218;1.523;Mon Feb 20 21:37:21 2017
    211;  2121;1217;1.521;Mon Feb 20 21:37:31 2017
    212;  2131;1217;1.521;Mon Feb 20 21:37:41 2017
    213;  2141;1215;1.519;Mon Feb 20 21:37:51 2017
    214;  2151;1218;1.523;Mon Feb 20 21:38:01 2017
    215;  2161;1216;1.520;Mon Feb 20 21:38:11 2017
    216;  2171;1218;1.523;Mon Feb 20 21:38:21 2017
    217;  2181;1217;1.521;Mon Feb 20 21:38:31 2017
    218;  2191;1217;1.521;Mon Feb 20 21:38:41 2017
    219;  2201;1217;1.521;Mon Feb 20 21:38:51 2017
    220;  2211;1220;1.525;Mon Feb 20 21:39:01 2017
    221;  2221;1216;1.520;Mon Feb 20 21:39:11 2017
    222;  2231;1217;1.521;Mon Feb 20 21:39:21 2017
    223;  2241;1217;1.521;Mon Feb 20 21:39:31 2017
    224;  2251;1219;1.524;Mon Feb 20 21:39:41 2017
