N°;Secondes;Brut;Volts;Date
     0;     1; 69;1.378;Wed Dec  7 01:26:02 2016
    50;   519; 68;1.358;Wed Dec  7 01:34:40 2016
   541;  5608; 67;1.339;Wed Dec  7 02:59:29 2016
  1220; 12644; 66;1.319;Wed Dec  7 04:56:45 2016
  2119; 21960; 65;1.300;Wed Dec  7 07:32:01 2016
  3392; 35152; 64;1.280;Wed Dec  7 11:11:53 2016
  4649; 48274; 63;1.260;Wed Dec  7 14:50:35 2016
  5400; 56056; 62;1.241;Wed Dec  7 17:00:17 2016
  6240; 64760; 61;1.221;Wed Dec  7 19:25:21 2016
  6894; 71537; 60;1.202;Wed Dec  7 21:18:18 2016
  7296; 75702; 59;1.182;Wed Dec  7 22:27:43 2016
  7687; 79755; 58;1.163;Wed Dec  7 23:35:16 2016
  7991; 82905; 57;1.143;Thu Dec  8 00:27:46 2016
  8170; 84760; 56;1.124;Thu Dec  8 00:58:41 2016
  8299; 86097; 55;1.104;Thu Dec  8 01:20:58 2016
  8395; 87091; 54;1.085;Thu Dec  8 01:37:32 2016
