N°;Secondes;Brut;Volts;Date
C;01;02;  60;   700;   700;1166;1.458;Fri Feb 24 21:50:57 2017
C;01;02;  60;   710;   710;1168;1.460;Fri Feb 24 21:51:07 2017
C;01;02;  60;   720;   720;1167;1.459;Fri Feb 24 21:51:17 2017
C;01;02;  60;   730;   730;1167;1.459;Fri Feb 24 21:51:27 2017
C;01;02;  60;   740;   740;1167;1.459;Fri Feb 24 21:51:37 2017
C;01;02;  60;   760;   760;1168;1.460;Fri Feb 24 21:51:57 2017
C;01;02;  60;   770;   770;1168;1.460;Fri Feb 24 21:52:07 2017
C;01;02;  60;   780;   780;1168;1.460;Fri Feb 24 21:52:17 2017
C;01;02;  60;   790;   790;1169;1.462;Fri Feb 24 21:52:27 2017
C;01;02;  60;   800;   800;1167;1.459;Fri Feb 24 21:52:37 2017
C;01;02;  60;   810;   810;1170;1.463;Fri Feb 24 21:52:47 2017
C;01;02;  60;   820;   820;1169;1.462;Fri Feb 24 21:52:57 2017
C;01;02;  60;   830;   830;1169;1.462;Fri Feb 24 21:53:07 2017
C;01;02;  60;   840;   840;1169;1.462;Fri Feb 24 21:53:17 2017
C;01;02;  60;   850;   850;1169;1.462;Fri Feb 24 21:53:27 2017
C;01;02;  60;   860;   860;1170;1.463;Fri Feb 24 21:53:37 2017
C;01;02;  60;   880;   880;1170;1.463;Fri Feb 24 21:53:57 2017
C;01;02;  60;   890;   890;1171;1.464;Fri Feb 24 21:54:07 2017
C;01;02;  60;   900;   900;1171;1.464;Fri Feb 24 21:54:17 2017
C;01;02;  60;   910;   910;1171;1.464;Fri Feb 24 21:54:27 2017
C;01;02;  60;   920;   920;1170;1.463;Fri Feb 24 21:54:37 2017
C;01;02;  60;   930;   930;1172;1.465;Fri Feb 24 21:54:47 2017
C;01;02;  60;   940;   940;1172;1.465;Fri Feb 24 21:54:57 2017
C;01;02;  60;   950;   950;1172;1.465;Fri Feb 24 21:55:07 2017
C;01;02;  60;   960;   960;1171;1.464;Fri Feb 24 21:55:17 2017
C;01;02;  60;   970;   970;1172;1.465;Fri Feb 24 21:55:27 2017
C;01;02;  60;   980;   980;1173;1.467;Fri Feb 24 21:55:37 2017
C;01;02;  60;  1000;  1000;1174;1.468;Fri Feb 24 21:55:57 2017
C;01;02;  60;  1010;  1010;1173;1.467;Fri Feb 24 21:56:07 2017
C;01;02;  60;  1020;  1020;1173;1.467;Fri Feb 24 21:56:17 2017
C;01;02;  60;  1030;  1030;1173;1.467;Fri Feb 24 21:56:27 2017
C;01;02;  60;  1040;  1040;1175;1.469;Fri Feb 24 21:56:37 2017
C;01;02;  60;  1050;  1050;1173;1.467;Fri Feb 24 21:56:47 2017
C;01;02;  60;  1060;  1060;1173;1.467;Fri Feb 24 21:56:57 2017
C;01;02;  60;  1070;  1070;1173;1.467;Fri Feb 24 21:57:07 2017
C;01;02;  60;  1080;  1080;1174;1.468;Fri Feb 24 21:57:17 2017
C;01;02;  60;  1090;  1090;1173;1.467;Fri Feb 24 21:57:27 2017
C;01;02;  60;  1100;  1100;1174;1.468;Fri Feb 24 21:57:37 2017
C;01;02;  60;  1120;  1120;1176;1.470;Fri Feb 24 21:57:57 2017
C;01;02;  60;  1130;  1130;1175;1.469;Fri Feb 24 21:58:07 2017
C;01;02;  60;  1140;  1140;1174;1.468;Fri Feb 24 21:58:17 2017
C;01;02;  60;  1150;  1150;1176;1.470;Fri Feb 24 21:58:27 2017
C;01;02;  60;  1160;  1160;1176;1.470;Fri Feb 24 21:58:37 2017
C;01;02;  60;  1170;  1170;1174;1.468;Fri Feb 24 21:58:47 2017
C;01;02;  60;  1180;  1180;1177;1.472;Fri Feb 24 21:58:57 2017
C;01;02;  60;  1190;  1190;1178;1.473;Fri Feb 24 21:59:07 2017
C;01;02;  60;  1200;  1200;1177;1.472;Fri Feb 24 21:59:17 2017
C;01;02;  60;  1210;  1210;1177;1.472;Fri Feb 24 21:59:27 2017
C;01;02;  60;  1220;  1220;1178;1.473;Fri Feb 24 21:59:37 2017
C;01;02;  60;  1240;  1240;1178;1.473;Fri Feb 24 21:59:57 2017
C;01;02;  60;  1250;  1250;1179;1.474;Fri Feb 24 22:00:07 2017
C;01;02;  60;  1260;  1260;1178;1.473;Fri Feb 24 22:00:17 2017
C;01;02;  60;  1270;  1270;1179;1.474;Fri Feb 24 22:00:27 2017
C;01;02;  60;  1280;  1280;1180;1.475;Fri Feb 24 22:00:37 2017
C;01;02;  60;  1290;  1290;1177;1.472;Fri Feb 24 22:00:47 2017
C;01;02;  60;  1300;  1300;1178;1.473;Fri Feb 24 22:00:57 2017
