N°;Secondes;Brut;Volts;Date
      0;     0; 66;1.328;Wed Dec 28 21:22:08 2016
    640;   552; 65;1.309;Wed Dec 28 21:31:20 2016
   1296;  1118; 64;1.289;Wed Dec 28 21:40:46 2016
   2922;  2520; 63;1.269;Wed Dec 28 22:04:08 2016
   8985;  7750; 62;1.250;Wed Dec 28 23:31:18 2016
  27303; 23547; 61;1.230;Thu Dec 29 03:54:35 2016
  32107; 27689; 60;1.211;Thu Dec 29 05:03:37 2016
  36452; 31438; 59;1.191;Thu Dec 29 06:06:06 2016
  40282; 34740; 58;1.172;Thu Dec 29 07:01:08 2016
  43225; 37279; 57;1.152;Thu Dec 29 07:43:27 2016
  44264; 38175; 55;1.113;Thu Dec 29 07:58:23 2016
  45994; 39668; 54;1.094;Thu Dec 29 08:23:16 2016
  45994; 39668; 54;1.094;Thu Dec 29 08:23:16 2016
