N°;Secondes;Brut;Volts;Date
      0;     1;953;1.193;Wed Feb 22 06:54:42 2017
      1;    11;945;1.183;Wed Feb 22 06:54:52 2017
      2;    21;940;1.176;Wed Feb 22 06:55:02 2017
      3;    31;936;1.171;Wed Feb 22 06:55:12 2017
      4;    41;932;1.166;Wed Feb 22 06:55:22 2017
      5;    51;926;1.159;Wed Feb 22 06:55:32 2017
      6;    61;918;1.149;Wed Feb 22 06:55:42 2017
      7;    71;915;1.145;Wed Feb 22 06:55:52 2017
      8;    81;912;1.142;Wed Feb 22 06:56:02 2017
      9;    91;909;1.138;Wed Feb 22 06:56:12 2017
     10;   101;906;1.134;Wed Feb 22 06:56:22 2017
     11;   111;903;1.130;Wed Feb 22 06:56:32 2017
     12;   121;901;1.128;Wed Feb 22 06:56:42 2017
     13;   131;898;1.124;Wed Feb 22 06:56:52 2017
     14;   142;892;1.117;Wed Feb 22 06:57:03 2017
     15;   152;890;1.114;Wed Feb 22 06:57:13 2017
     16;   162;887;1.110;Wed Feb 22 06:57:23 2017
     17;   172;884;1.107;Wed Feb 22 06:57:33 2017
     18;   182;882;1.104;Wed Feb 22 06:57:43 2017
     19;   192;879;1.100;Wed Feb 22 06:57:53 2017
     20;   202;876;1.097;Wed Feb 22 06:58:03 2017
     21;   212;873;1.093;Wed Feb 22 06:58:13 2017
     22;   222;872;1.092;Wed Feb 22 06:58:23 2017
     23;   232;869;1.088;Wed Feb 22 06:58:33 2017
     24;   242;867;1.086;Wed Feb 22 06:58:43 2017
     25;   252;862;1.079;Wed Feb 22 06:58:53 2017
     26;   262;859;1.076;Wed Feb 22 06:59:03 2017
     27;   272;857;1.073;Wed Feb 22 06:59:13 2017
     28;   282;854;1.069;Wed Feb 22 06:59:23 2017
     29;   292;851;1.066;Wed Feb 22 06:59:33 2017
     30;   302;849;1.063;Wed Feb 22 06:59:43 2017
     31;   312;844;1.057;Wed Feb 22 06:59:53 2017
     32;   322;841;1.053;Wed Feb 22 07:00:03 2017
     33;   332;836;1.047;Wed Feb 22 07:00:13 2017
     34;   342;832;1.042;Wed Feb 22 07:00:23 2017
     35;   352;828;1.037;Wed Feb 22 07:00:33 2017
     36;   362;817;1.023;Wed Feb 22 07:00:43 2017
     37;   373;788;0.987;Wed Feb 22 07:00:54 2017
     37;   373;788;0.987;Wed Feb 22 07:00:54 2017
